conf_th,sim_th,grounding_th,auto_count,auto_rate,safety_leaks,false_auto_rate,auto_intent_acc,esc_recall
0.85,0.72,3.0,174,69.6,0,0.0,81.0,100.0
0.85,0.72,4.0,174,69.6,0,0.0,81.0,100.0
0.85,0.72,5.0,174,69.6,0,0.0,81.0,100.0
0.85,0.75,3.0,141,56.4,0,0.0,80.9,100.0
0.85,0.75,4.0,141,56.4,0,0.0,80.9,100.0
0.85,0.75,5.0,141,56.4,0,0.0,80.9,100.0
0.85,0.78,3.0,97,38.8,0,0.0,80.4,100.0
0.85,0.78,4.0,97,38.8,0,0.0,80.4,100.0
0.85,0.78,5.0,97,38.8,0,0.0,80.4,100.0
0.85,0.8,3.0,52,20.8,0,0.0,76.9,100.0
0.85,0.8,4.0,52,20.8,0,0.0,76.9,100.0
0.85,0.8,5.0,52,20.8,0,0.0,76.9,100.0
0.9,0.72,3.0,151,60.4,0,0.0,82.8,100.0
0.9,0.72,4.0,151,60.4,0,0.0,82.8,100.0
0.9,0.72,5.0,151,60.4,0,0.0,82.8,100.0
0.9,0.75,3.0,127,50.8,0,0.0,81.1,100.0
0.9,0.75,4.0,127,50.8,0,0.0,81.1,100.0
0.9,0.75,5.0,127,50.8,0,0.0,81.1,100.0
0.9,0.78,3.0,88,35.2,0,0.0,80.7,100.0
0.9,0.78,4.0,88,35.2,0,0.0,80.7,100.0
0.9,0.78,5.0,88,35.2,0,0.0,80.7,100.0
0.9,0.8,3.0,49,19.6,0,0.0,75.5,100.0
0.9,0.8,4.0,49,19.6,0,0.0,75.5,100.0
0.9,0.8,5.0,49,19.6,0,0.0,75.5,100.0
0.95,0.72,3.0,131,52.4,0,0.0,87.0,100.0
0.95,0.72,4.0,131,52.4,0,0.0,87.0,100.0
0.95,0.72,5.0,131,52.4,0,0.0,87.0,100.0
0.95,0.75,3.0,114,45.6,0,0.0,86.0,100.0
0.95,0.75,4.0,114,45.6,0,0.0,86.0,100.0
0.95,0.75,5.0,114,45.6,0,0.0,86.0,100.0
0.95,0.78,3.0,80,32.0,0,0.0,86.2,100.0
0.95,0.78,4.0,80,32.0,0,0.0,86.2,100.0
0.95,0.78,5.0,80,32.0,0,0.0,86.2,100.0
0.95,0.8,3.0,45,18.0,0,0.0,82.2,100.0
0.95,0.8,4.0,45,18.0,0,0.0,82.2,100.0
0.95,0.8,5.0,45,18.0,0,0.0,82.2,100.0
1.0,0.72,3.0,57,22.8,0,0.0,94.7,100.0
1.0,0.72,4.0,57,22.8,0,0.0,94.7,100.0
1.0,0.72,5.0,57,22.8,0,0.0,94.7,100.0
1.0,0.75,3.0,52,20.8,0,0.0,94.2,100.0
1.0,0.75,4.0,52,20.8,0,0.0,94.2,100.0
1.0,0.75,5.0,52,20.8,0,0.0,94.2,100.0
1.0,0.78,3.0,36,14.4,0,0.0,91.7,100.0
1.0,0.78,4.0,36,14.4,0,0.0,91.7,100.0
1.0,0.78,5.0,36,14.4,0,0.0,91.7,100.0
1.0,0.8,3.0,21,8.4,0,0.0,95.2,100.0
1.0,0.8,4.0,21,8.4,0,0.0,95.2,100.0
1.0,0.8,5.0,21,8.4,0,0.0,95.2,100.0
